index,citeTld
com,145941
gov,41094
com.br,33522
org,29455
co.uk,12084
pt,11356
cz,9049
gov.br,6935
net,6323
edu,5589
de,5410
fr,4621
it,3988
br,3864
org.br,2312
ca,1800
es,1713
se,1529
org.uk,1342
com.au,1180
eu,1037
nl,1029
info,983
ac.uk,946
ru,839
co.jp,830
ch,762
blogspot.com,598
int,561
be,528
va,490
edu.br,487
dk,465
com.ar,451
jp,444
is,384
no,379
ie,376
at,358
us,344
gov.uk,333
com.mx,330
gob.mx,330
tv,321
wmflabs.org,307
gov.au,305
fi,293
co.nz,264
hu,262
cl,256
ro,249
net.au,235
pl,232
co.kr,218
gc.ca,214
jus.br,211
co.za,202
biz,192
cat,190
edu.au,180
blogspot.pt,169
sk,154
go.jp,151
org.nz,137
gouv.fr,135
gr,133
gov.ar,126
mil,123
go.th,119
com.cn,117
or.jp,116
ac,115
leg.br,112
mx,110
gob.ar,104
ee,102
gov.il,102
uk,90
org.il,82
org.mx,81
inf.br,80
org.au,78
mu,76
org.ar,76
com.tr,75
pro.br,75
cn,74
fm,73
co.il,71
co.ao,70
me,70
cv,69
net.br,68
in,67
hr,66
co.mz,66
nu,64
or.kr,63
am,62
gov.pt,61
ao,59
asia,57
si,57
ac.jp,56
co,56
lu,55
blogspot.com.br,54
bg,53
ac.il,52
com.pt,52
tur.br,51
go.kr,51
ws,51
art.br,51
ne.jp,51
med.br,50
ac.at,50
gov.sg,49
gov.mz,49
cu,46
cc,46
com.tw,46
com.uy,45
ae,45
gov.mo,44
asso.fr,42
org.tr,41
mil.br,41
org.za,41
govt.nz,40
mz,39
com.my,39
nic.in,38
org.cn,38
ac.za,36
qc.ca,36
rs,36
gov.ua,36
ac.kr,35
co.in,35
IPv6 URL,35
co.ve,34
jor.br,34
gov.tw,34
edu.ar,34
ge,34
ua,33
edu.cn,33
com.ua,32
nhs.uk,32
gov.tr,31
gov.cn,31
az,31
gov.za,31
mus.br,31
com.pk,31
pe,30
gov.in,29
vic.gov.au,29
gov.ph,29
gov.my,29
com.hk,29
lg.jp,28
edu.tw,28
ir,27
gov.hk,27
mp.br,25
tx.us,25
ac.be,25
lt,24
ag,24
lv,23
io,23
gov.ec,22
org.ua,22
agulha.nom.br,22
blog.br,21
com.py,21
kiev.ua,20
gl,20
edu.pl,20
go.id,20
ar,20
com.ph,20
gov.lv,20
gov.co,20
gub.uy,20
on.ca,20
blogspot.co.uk,19
com.mo,19
gal,19
com.ec,19
com.co,19
edu.co,19
amazonaws.com,18
gov.sa,18
edu.pe,18
mb.ca,18
com.pe,18
kz,18
today,18
tl,17
tw,17
com.ve,17
com.cy,17
org.eg,17
gv.at,17
ac.th,16
mc,16
blogspot.com.es,16
tokyo.jp,16
gov.pl,16
co.bw,16
co.ke,15
by,15
lk,15
edu.tr,15
ny.us,15
gov.by,14
ac.mz,14
ac.nz,14
gov.py,14
md,14
edu.kh,14
org.pt,14
name,13
gov.tl,13
gov.eg,13
gob.ve,13
ca.us,13
gov.ps,13
su,13
li,12
to,12
blogspot.fr,12
kr,12
com.mt,12
edu.sg,12
com.bn,12
sp.leg.br,12
ac.in,12
gov.ae,12
ma,11
pr,11
s3.amazonaws.com,11
pa.us,11
ec,11
historia.nom.br,11
fl.us,11
as,11
eu.com,10
net.tw,10
spb.ru,10
xyz,10
aero,10
nf.ca,10
org.pl,10
gob.pe,10
blogspot.ca,10
al.us,10
gov.pk,10
co.id,10
gov.jo,9
tv.br,9
net.nz,9
fed.us,9
edu.hk,9
com.sg,9
eng.br,9
eti.br,9
com.do,9
adv.br,9
travel,9
com.pa,9
gob.ec,9
co.ug,9
edu.lb,8
edu.uy,8
bc.ca,8
kommune.no,8
hiroshima.jp,8
fo,8
nara.jp,8
ok.us,8
pe.ca,8
la,8
org.mz,8
gov.az,8
com.ni,8
bo,7
gov.lk,7
org.gr,7
com.sa,7
org.my,7
au,7
bw,7
com.lb,7
com.pl,7
com.gt,7
gov.cy,7
gov.ru,7
tn,6
edu.mx,6
sk.ca,6
md.us,6
jo,6
com.vn,6
vg,6
sg,6
wa.gov.au,6
go.tz,6
co.th,6
city.sapporo.jp,6
com.tn,6
krakow.pl,6
org.in,6
pp.se,6
mt,6
muni.il,6
org.ph,6
org.tw,6
gov.mv,6
sm,5
ac.rs,5
com.na,5
wroc.pl,5
gr.jp,5
vn,5
ab.ca,5
fi.it,5
tk,5
blogspot.nl,5
edu.ec,5
org.gt,5
ac.id,5
com.np,5
ba,5
edu.sv,5
info.ec,5
org.py,5
my,5
mn.us,5
gov.bd,5
hn,5
il.us,5
ng,5
museum,5
org.uy,5
br.com,5
or.id,5
nat.tn,4
nj.us,4
presse.fr,4
gov.ve,4
gov.tn,4
fukui.fukui.jp,4
heu.nom.br,4
ru.net,4
eco.br,4
shiga.jp,4
ph,4
police.uk,4
bio.br,4
esp.br,4
yamanashi.jp,4
com.ru,4
gob.do,4
cnt.br,4
uy,4
gov.sy,4
scot,4
ac.cr,4
gob.es,4
gov.rs,4
org.pe,4
miranda.nom.br,4
gov.lb,4
nm.us,4
cd,4
wiki,4
bel.tr,4
org.co,4
com.mv,4
gov.ie,4
edu.eg,4
gov.bo,4
eu.int,4
cloudfront.net,4
gov.bn,4
gov.al,4
edu.qa,4
direct,4
k12.in.us,4
eus,4
hk,4
aeroport.fr,3
vt.us,3
org.ve,3
mil.ru,3
blogspot.de,3
or.th,3
com.bd,3
com.bo,3
nara.nara.jp,3
wroclaw.pl,3
gob.sv,3
idf.il,3
g12.br,3
co.rs,3
psc.br,3
ne,3
mil.ec,3
edu.ua,3
gov.gr,3
k12.ca.us,3
dp.ua,3
osaka.jp,3
ac.cn,3
org.hk,3
ad,3
blogspot.in,3
af,3
com.al,3
aq,3
dz,3
lviv.ua,3
edu.bn,3
gov.qa,3
org.lb,3
tas.gov.au,3
fm.br,3
oh.us,3
lib.mi.us,3
gov.np,3
uz,3
pe.leg.br,3
sardegna.it,3
lib.ks.us,2
mil.by,2
sa.gov.au,2
tm.fr,2
gob.gt,2
co.ma,2
or.ug,2
go.cr,2
ac.tz,2
trieste.it,2
res.in,2
org.na,2
nl.ca,2
com.gr,2
kagawa.jp,2
etc.br,2
firenze.it,2
padova.it,2
benz.nom.br,2
k12.ma.us,2
ac.leg.br,2
foundation,2
nagasaki.nagasaki.jp,2
kanagawa.jp,2
edu.gr,2
k12.ny.us,2
web.id,2
kg,2
tc,2
gov.ck,2
como.it,2
okayama.jp,2
com.sv,2
wales,2
art.museum,2
linear.nom.br,2
venezia.it,2
sr,2
mr,2
edu.pk,2
mn,2
blogspot.no,2
higashikawa.hokkaido.jp,2
gov.jm,2
ms,2
org.rs,2
ac.pg,2
mo,2
va.us,2
ia.us,2
co.rw,2
milano.it,2
edu.pt,2
ve,2
or.at,2
ichinomiya.aichi.jp,2
pw,2
blogspot.jp,2
land,2
arq.br,2
tv.it,2
cymru,2
om,2
nc.us,2
radiologico.nom.br,2
la.us,2
me.uk,2
info.ve,2
me.us,2
so,2
pk,2
yachiyo.chiba.jp,2
wy.us,2
gov.vn,2
chiba.jp,2
ma.us,2
cci.fr,2
roma.it,2
ba.leg.br,2
com.ng,2
gov.dm,2
gov.do,2
com.eg,2
us.com,2
in.th,2
co.sz,2
k12.nj.us,2
zone,2
nb.ca,2
waltham.sch.uk,2
org.ae,2
edu.jm,2
yk.ca,2
edu.jo,2
hekinan.aichi.jp,2
warszawa.pl,2
рф,2
buzz,2
org.tn,2
nu.ca,2
net.kw,2
gy,2
com.qa,2
qld.gov.au,2
life,2
org.sg,2
capixabas.nom.br,2
news,2
asn.au,2
washingtondc.museum,2
gd,2
ga,2
gi,2
gov.tt,2
coop,2
im,2
k12.me.us,2
com.bh,2
media,2
rj.leg.br,2
cx,2
info.tn,2
cm,2
blogspot.com.au,2
gov.kh,2
lib.tx.us,2
blogspot.com.ar,2
fin.ec,2
gov.et,2
com.es,2
aomori.aomori.jp,2
je,2
googlecode.com,2
treviso.it,2
gov.lt,2
pistoia.it,2
ac.ug,2
cr,2
mil.tr,2
shimane.jp,2
id,2
az.us,2
org.es,2
ac.fj,2
gob.hn,2
eu.org,2
social,2
africa.com,2
gouv.ht,2
org.kh,2
pink,2
nyc,2
k12.il.us,2
com.mk,2
marche.it,2
uk.com,1
mil.za,1
blogspot.sg,1
co.im,1
freitas.nom.br,1
press,1
gov.ge,1
us-west-2.elb.amazonaws.com,1
edu.py,1
uol,1
mil.bd,1
tn.it,1
org.bo,1
org.bd,1
qa,1
re,1
bj,1
gov.fk,1
bb,1
bf,1
lib.mn.us,1
lins.nom.br,1
dj,1
antigos.nom.br,1
sx,1
al,1
st,1
herts.sch.uk,1
sn,1
art.pl,1
mil.no,1
wa.edu.au,1
edu.ph,1
msk.ru,1
london.museum,1
vc,1
net.gr,1
cc.il.us,1
gda.pl,1
aland.fi,1
org.ma,1
homeip.net,1
org.mt,1
net.uk,1
ls,1
info.na,1
paulistano.nom.br,1
fe.it,1
mil.ar,1
trd.br,1
gob.pa,1
av.tr,1
info.au,1
gov.iq,1
obu.aichi.jp,1
nt.ca,1
gov.kz,1
mn.it,1
gob.cl,1
nagasaki.jp,1
gov.kg,1
shinshiro.aichi.jp,1
blogspot.be,1
lincs.sch.uk,1
tahara.aichi.jp,1
iwate.jp,1
aichi.jp,1
origem.nom.br,1
edu.gt,1
go.leg.br,1
edu.mt,1
gov.mw,1
edu.ve,1
com.kw,1
github.io,1
sch.ir,1
am.br,1
virtual.museum,1
edu.sa,1
ac.ir,1
km.ua,1
akita.jp,1
gov.gi,1
gen.tr,1
if.ua,1
in.us,1
gs,1
messina.it,1
gov.ml,1
or.ke,1
net.mx,1
ac.bd,1
gg,1
org.sa,1
mw,1
mk,1
tsu.mie.jp,1
nh.us,1
org.sv,1
brasil.nom.br,1
ri.us,1
edu.mo,1
org.vn,1
org.bz,1
