"index","citeTld","refTld","citeTld_pc","refTld_pc"
"sa",1548,37,0.0156673422448933,0.00263185411276997
"scot",225,11,0.00227722997745542,0.000782443114607288
"se",83230,5519,0.842372671216066,0.392573049956148
"sg",4431,17,0.0448462490226888,0.00120923026802945
"si",5237,144,0.0530037928530402,0.0102428916821318
"sk",6396,106,0.0647340574924662,0.00753990637712478
"sm",312,13,0.00315775890207152,0.000924705499081341
"sn",341,5,0.00345126854361022,0.000355655961185131
"so",19,27,0.000192299420318458,0.00192054219039971
"solutions",9,2,9.10891990982169e-05,0.000142262384474052
"sr",53,1,0.000536414172467277,7.11311922370262e-05
"su",1606,200,0.0162543615279707,0.0142262384474052
"sv",613,1,0.00620418656080078,7.11311922370262e-05
"sx",23,2,0.000232783508806554,0.000142262384474052
"sy",495,20,0.00500990595040193,0.00142262384474052
"sz",119,6,0.00120440163252087,0.000426787153422157
"taipei",32,5,0.000323872707904771,0.000355655961185131
"th",21925,6860,0.221903410025378,0.487959978746
"tj",360,1,0.00364356796392868,7.11311922370262e-05
"tk",392,9,0.00396744067183345,0.000640180730133236
"tl",337,3,0.00341078445512212,0.000213393576711079
"tn",1159,27,0.0117302646394259,0.00192054219039971
"to",641,69,0.00648757518021745,0.00490805226435481
"today",376,2,0.00380550431788106,0.000142262384474052
"tr",16623,193,0.168241750734407,0.0137283201017461
"travel",608,6,0.00615358145019066,0.000426787153422157
"tt",367,3,0.00371441511878285,0.000213393576711079
"tv",17622,444,0.178352651834309,0.0315822493532396
"tw",14296,260,0.144690132256457,0.0184941099816268
"tz",409,10,0.00413949804790786,0.000711311922370262
"ua",30018,612,0.30381284205892,0.04353228964906
"ug",877,16,0.00887613640101514,0.00113809907579242
"uk",553287,29134,5.59982996682835,2.07233615463352
"us",28502,81,0.288469372521931,0.00576162657119912
"uy",3981,61,0.040291789067778,0.0043390027264586
"uz",785,8,0.00794500236578892,0.00056904953789621
"va",8796,59,0.089024510585324,0.00419674034198455
"vc",38,1,0.000384598840636916,7.11311922370262e-05
"ve",2068,14,0.0209302737483458,0.000995836691318367
"vn",6010,17,0.0608273429533649,0.00120923026802945
"vu",126,2,0.00127524878737504,0.000142262384474052
"wales",224,193,0.0022671089553334,0.0137283201017461
"website",7,1,7.08471548541687e-05,7.11311922370262e-05
"wf",3,1,3.03630663660723e-05,7.11311922370262e-05
"ws",1513,80,0.0153131064706225,0.0056904953789621
"xyz",68,3,0.000688229504297639,0.000213393576711079
"ye",31,3,0.000313751685782747,0.000213393576711079
"za",13897,1301,0.140651844429769,0.0925416811003711
"zm",180,8,0.00182178398196434,0.00056904953789621
"zone",44,1,0.000445324973369061,7.11311922370262e-05
"zw",222,4,0.00224686691108935,0.000284524768948105
"рф",324,8,0.00327921116753581,0.00056904953789621
"հայ",98,1,0.000991860167958362,7.11311922370262e-05
