group_mean,group_median,wp_lang
3.43135508431,2.0,wd
6.40561169641,2.0,ar
6.77118565322,4.0,de
11.2549237541,4.0,en
8.85193163359,4.0,es
8.14768388209,3.0,fr
7.70960944672,3.0,it
9.99321652131,4.0,ja
6.17720139117,2.0,pt
8.42872584786,4.0,ru
8.77018226798,3.0,zh
