index,citeTld
com,75068
org,13085
co.uk,7981
edu,4478
com.cn,4457
gov,4119
net,3671
com.tw,3250
hu,2681
co.jp,2348
jp,2160
cn,1755
de,1754
ca,1220
fr,1141
edu.cn,1124
ac.uk,1059
edu.tw,1049
gov.cn,876
com.au,750
com.hk,726
gov.tw,581
ru,540
cc,514
org.uk,483
org.tw,478
lg.jp,448
it,435
gov.uk,410
hk,408
int,402
or.jp,396
gov.hk,387
info,386
nl,349
se,321
go.jp,319
gov.au,305
ac.jp,301
edu.hk,280
eu,278
ch,273
mu,260
org.hk,229
tw,218
com.my,215
edu.au,212
co.kr,207
tv,204
es,194
is,189
gc.ca,185
ie,183
blogspot.com,176
org.cn,173
fi,173
dk,167
ne.jp,165
no,149
cz,146
us,136
co.nz,135
be,135
go.kr,133
at,131
net.au,119
ac.cn,112
biz,111
mil,108
uk,108
me,94
va,92
co.za,90
com.br,90
gr,86
pl,84
in,79
ro,74
com.tr,70
mg,67
gouv.fr,65
pt,62
sk,62
gov.sg,56
mn.us,56
lv,53
org.au,52
com.pk,50
gov.br,50
gov.ph,48
ir,48
net.cn,47
asia,47
or.kr,47
com.mx,41
ee,40
hr,40
am,40
ac.il,38
gov.il,38
com.ar,36
nic.in,35
rs,35
org.il,35
vn,34
co.il,34
gov.in,34
bg,33
com.sg,32
co,32
gov.eg,31
nhs.uk,31
vic.gov.au,31
shizuoka.jp,30
kumamoto.kumamoto.jp,29
gov.my,29
IPv6 URL,29
ac.kr,29
io,28
sh.cn,28
edu.sg,27
bc.ca,27
blogspot.tw,27
cl,25
gob.mx,25
tokyo.jp,25
saitama.jp,25
qld.gov.au,25
kyoto.jp,24
hachioji.tokyo.jp,23
govt.nz,23
gov.mo,23
gov.ar,22
br,22
si,22
on.ca,21
gr.jp,21
co.in,21
sg,21
ac.at,20
kr,20
com.ua,19
blogspot.hk,19
az,18
gov.tr,18
qc.ca,17
net.tw,17
gov.et,17
city.sapporo.jp,17
go.th,17
edu.my,17
fm,17
lt,17
cat,17
org.eg,16
edu.sa,16
idv.tw,16
com.ph,16
by,16
edu.mo,15
com.mk,15
gov.za,15
city.kitakyushu.jp,15
ae,15
gov.ua,15
co.id,14
aero,14
org.za,14
ed.jp,14
org.nz,13
nj.us,13
spb.ru,13
im,13
edu.tr,13
gob.pe,12
ws,12
blogspot.co.uk,12
hamamatsu.shizuoka.jp,12
ac.th,12
lk,12
ge,12
my,12
ac.in,12
edu.pl,12
ac.za,11
uz,11
gov.vn,11
rep.kp,11
ny.us,11
jpn.com,11
com.ve,10
lu,10
gov.ps,10
ua,10
li,10
matsue.shimane.jp,10
kiev.ua,10
s3.amazonaws.com,10
ca.us,10
lib.ks.us,10
org.ua,9
tk,9
to,9
gov.pl,9
police.uk,9
mx,9
ag,9
sy,9
beppu.oita.jp,9
gov.sl,9
gov.lv,9
gv.at,9
chat,9
wa.gov.au,9
ac.id,9
mn,9
com.vn,9
org.sg,9
taipei,9
kami.kochi.jp,8
sm,8
com.lb,8
go.id,8
gov.lr,8
aq,8
ac.be,8
tx.us,8
gov.pk,8
com.mt,8
ac.nz,8
org.tr,8
kz,8
org.mx,7
city.sendai.jp,7
nu,7
va.us,7
fukuoka.jp,7
ok.us,7
org.br,7
co.th,7
nara.jp,7
ph,7
sunagawa.hokkaido.jp,7
ar,7
org.vn,7
gov.by,7
city.yokohama.jp,7
abashiri.hokkaido.jp,6
cu,6
gov.mu,6
fukuyama.hiroshima.jp,6
kumamoto.jp,6
gov.sa,6
izumo.shimane.jp,6
nobeoka.miyazaki.jp,6
nl.ca,6
hiroshima.jp,6
bw,6
chiba.jp,6
tamano.okayama.jp,6
au,6
sa.gov.au,5
edu.mn,5
mk,5
mb.ca,5
torino.it,5
eu.int,5
fussa.tokyo.jp,5
com.gt,5
md,5
today,5
or.us,5
fed.us,5
nc.us,5
ma,5
org.ar,5
edu.co,5
blogspot.de,5
soka.saitama.jp,5
co.ke,5
uk.com,5
ba,5
nf.ca,5
org.mk,4
press,4
github.io,4
mi.us,4
kikuchi.kumamoto.jp,4
shiogama.miyagi.jp,4
kanagawa.jp,4
gov.ve,4
tomakomai.hokkaido.jp,4
googlecode.com,4
gov.co,4
osaka.jp,4
gov.it,4
fukagawa.hokkaido.jp,4
com.mo,4
okayama.jp,4
pk,4
edu.mk,4
ps,4
asn.au,4
wakkanai.hokkaido.jp,4
re.kr,4
com.np,4
edu.ar,4
mizuho.tokyo.jp,4
org.my,4
news,4
ac.rs,4
org.mo,4
miyakonojo.miyazaki.jp,4
milano.it,4
gub.uy,4
or.th,4
withgoogle.com,4
ab.ca,4
nishiokoppe.hokkaido.jp,4
gov.qa,4
amazonaws.com,4
leg.br,4
lib.va.us,4
zentsuji.kagawa.jp,4
blogspot.jp,4
yachiyo.chiba.jp,4
gov.mk,4
kunneppu.hokkaido.jp,4
shikaoi.hokkaido.jp,4
gov.ge,4
kurume.fukuoka.jp,4
wake.okayama.jp,4
lviv.ua,4
co.tt,4
hiroo.hokkaido.jp,4
nogata.fukuoka.jp,4
org.ph,4
org.ir,4
nishihara.kumamoto.jp,4
ac.ir,4
ma.us,3
okoppe.hokkaido.jp,3
amakusa.kumamoto.jp,3
mobi,3
msk.ru,3
hn,3
gov.gi,3
kamikawa.hyogo.jp,3
hokkaido.jp,3
furano.hokkaido.jp,3
gob.ec,3
gov.lb,3
gov.bd,3
ak.us,3
wassamu.hokkaido.jp,3
blogspot.com.au,3
com.pe,3
chitose.hokkaido.jp,3
tomari.hokkaido.jp,3
bihoro.hokkaido.jp,3
il.us,3
net.nz,3
go.tz,3
nagasaki.nagasaki.jp,3
museum,3
k12.pa.us,3
ns.ca,3
rw,3
naie.hokkaido.jp,3
mt,3
com.kp,3
yamato.kumamoto.jp,3
hi.us,3
gov.jo,3
sk.ca,3
idv.hk,3
takinoue.hokkaido.jp,3
lib.tx.us,3
sc,3
name,3
wmflabs.org,3
js.cn,3
fo,3
edu.vn,3
al.us,3
co.us,3
com.co,3
nagahama.shiga.jp,3
virtual.museum,3
edu.eg,3
yusui.kagoshima.jp,3
suginami.tokyo.jp,3
toyonaka.osaka.jp,3
com.ec,3
jo,3
kounosu.saitama.jp,3
appspot.com,3
com.uy,3
su,3
moe,3
kushiro.hokkaido.jp,3
kasaoka.okayama.jp,3
pe,3
net.my,3
utashinai.hokkaido.jp,3
eu.com,3
nishinoomote.kagoshima.jp,3
minamisanriku.miyagi.jp,3
kamifurano.hokkaido.jp,3
teshikaga.hokkaido.jp,3
edu.pe,3
res.in,3
sarufutsu.hokkaido.jp,3
hisayama.fukuoka.jp,2
hakodate.hokkaido.jp,2
co.im,2
co.tz,2
urayasu.chiba.jp,2
mihara.hiroshima.jp,2
com.tn,2
ao,2
ax,2
uda.nara.jp,2
com.qa,2
gov.lt,2
al,2
asahikawa.hokkaido.jp,2
tara.saga.jp,2
yakumo.hokkaido.jp,2
sagamihara.kanagawa.jp,2
gov.ly,2
oh.us,2
tr,2
amagasaki.hyogo.jp,2
travel,2
nagasu.kumamoto.jp,2
okinawa.jp,2
ac,2
ichikawa.chiba.jp,2
go.ug,2
erimo.hokkaido.jp,2
ayagawa.kagawa.jp,2
re,2
hatsukaichi.hiroshima.jp,2
asago.hyogo.jp,2
voyage,2
sn,2
kp,2
toyotomi.hokkaido.jp,2
edu.bo,2
arakawa.tokyo.jp,2
gov.iq,2
okuizumo.shimane.jp,2
bifuka.hokkaido.jp,2
vicenza.it,2
tas.gov.au,2
taiki.hokkaido.jp,2
rankoshi.hokkaido.jp,2
yatsushiro.kumamoto.jp,2
noboribetsu.hokkaido.jp,2
gov.gh,2
com.ru,2
ota.tokyo.jp,2
takanabe.miyazaki.jp,2
lib.mn.us,2
hita.oita.jp,2
best,2
bj.cn,2
okinoshima.shimane.jp,2
bel.tr,2
kotoura.tottori.jp,2
fuchu.hiroshima.jp,2
org.jo,2
saroma.hokkaido.jp,2
matsushima.miyagi.jp,2
shibecha.hokkaido.jp,2
sc.us,2
org.lb,2
ishikari.hokkaido.jp,2
uki.kumamoto.jp,2
taketa.oita.jp,2
com.pt,2
com.pl,2
org.gt,2
wa.us,2
gov.rs,2
gov.ru,2
art.pl,2
tsushima.nagasaki.jp,2
asso.fr,2
k12.in.us,2
org.qa,2
miyazaki.miyazaki.jp,2
homeoffice.gov.uk,2
kagoshima.jp,2
id.us,2
k12.ca.us,2
or.ke,2
shiraoi.hokkaido.jp,2
takamori.kumamoto.jp,2
mt.us,2
tosashimizu.kochi.jp,2
nsw.edu.au,2
kyowa.hokkaido.jp,2
net.ph,2
soeda.fukuoka.jp,2
kawanishi.hyogo.jp,2
yamaga.kumamoto.jp,2
uryu.hokkaido.jp,2
fukushima.jp,2
dz,2
gi,2
org.rs,2
tuxfamily.org,2
takehara.hiroshima.jp,2
aki.kochi.jp,2
kiyosato.hokkaido.jp,2
githubusercontent.com,2
kawagoe.saitama.jp,2
in.th,2
ichikawa.hyogo.jp,2
urausu.hokkaido.jp,2
blogspot.nl,2
fukusaki.hyogo.jp,2
oamishirasato.chiba.jp,2
taa.it,2
co.zw,2
date.hokkaido.jp,2
gob.hn,2
hasami.nagasaki.jp,2
hn.cn,2
edu.ru,2
md.us,2
iwamizawa.hokkaido.jp,2
tamba.hyogo.jp,2
oto.fukuoka.jp,2
org.ve,2
fi.it,2
tj.cn,2
chikugo.fukuoka.jp,2
sanuki.kagawa.jp,2
pro,2
otoyo.kochi.jp,2
yonaguni.okinawa.jp,2
go.ke,2
hiji.oita.jp,2
aomori.aomori.jp,2
genkai.saga.jp,2
hamatonbetsu.hokkaido.jp,2
shibuya.tokyo.jp,2
shinonsen.hyogo.jp,2
isen.kagoshima.jp,2
kikonai.hokkaido.jp,2
mc,2
kutchan.hokkaido.jp,2
gob.bo,2
oita.oita.jp,2
adachi.tokyo.jp,2
oki.fukuoka.jp,2
gov.ml,2
rishiri.hokkaido.jp,2
bizen.okayama.jp,2
gov.mn,2
togitsu.nagasaki.jp,2
jus.br,2
eniwa.hokkaido.jp,2
ad.jp,2
katsuragi.nara.jp,2
cd,2
in.ua,2
fl.us,2
aya.miyazaki.jp,2
yoichi.hokkaido.jp,2
tm.fr,2
utazu.kagawa.jp,2
misasa.tottori.jp,2
com.mv,2
shiriuchi.hokkaido.jp,2
co.at,2
kamigori.hyogo.jp,1
tadotsu.kagawa.jp,1
st,1
org.cy,1
sr,1
ms,1
no-ip.info,1
poznan.pl,1
edu.ph,1
ac.ru,1
tokyo,1
uenohara.yamanashi.jp,1
obama.fukui.jp,1
geisei.kochi.jp,1
pr,1
unzen.nagasaki.jp,1
presse.fr,1
qa,1
gouv.ht,1
co.me,1
ne.kr,1
org.ae,1
so,1
naha.okinawa.jp,1
org.ge,1
niki.hokkaido.jp,1
shari.hokkaido.jp,1
nakasatsunai.hokkaido.jp,1
tsukumi.oita.jp,1
sc.cn,1
unnan.shimane.jp,1
kitahiroshima.hokkaido.jp,1
gov.cy,1
edu.rs,1
pro.br,1
kembuchi.hokkaido.jp,1
gitlab.io,1
nagara.chiba.jp,1
hyuga.miyazaki.jp,1
shobara.hiroshima.jp,1
gv.ao,1
iwanai.hokkaido.jp,1
org.al,1
me.us,1
sh,1
chosei.chiba.jp,1
oguni.kumamoto.jp,1
ozu.kumamoto.jp,1
inzai.chiba.jp,1
motoyama.kochi.jp,1
shingu.fukuoka.jp,1
gov.cu,1
embetsu.hokkaido.jp,1
kure.hiroshima.jp,1
scot,1
yoshinogari.saga.jp,1
horonobe.hokkaido.jp,1
mihara.kochi.jp,1
kuriyama.hokkaido.jp,1
blogspot.hu,1
org.zm,1
kiyama.saga.jp,1
parliament.nz,1
imari.saga.jp,1
nagareyama.chiba.jp,1
рф,1
blogspot.fi,1
izumi.kagoshima.jp,1
wa.au,1
jl.cn,1
kujukuri.chiba.jp,1
gov.ae,1
yabu.hyogo.jp,1
pe.kr,1
choshi.chiba.jp,1
gob.ar,1
gov.af,1
atsuma.hokkaido.jp,1
blogspot.fr,1
ashibetsu.hokkaido.jp,1
com.pa,1
com.py,1
co.cr,1
tachiarai.fukuoka.jp,1
sd.cn,1
guru,1
uji.kyoto.jp,1
takamatsu.kagawa.jp,1
etajima.hiroshima.jp,1
com.pg,1
com.pr,1
fukushima.hokkaido.jp,1
blogspot.com.ar,1
kommune.no,1
k12.mn.us,1
warszawa.pl,1
ct.it,1
oketo.hokkaido.jp,1
koshigaya.saitama.jp,1
mil.cn,1
gob.es,1
prato.it,1
blogspot.in,1
blogspot.it,1
kushima.miyazaki.jp,1
kanonji.kagawa.jp,1
lib.fl.us,1
na.it,1
oumu.hokkaido.jp,1
com.sa,1
livorno.it,1
osakikamijima.hiroshima.jp,1
gov.gy,1
nemuro.hokkaido.jp,1
ne.us,1
urakawa.hokkaido.jp,1
nakatombetsu.hokkaido.jp,1
bibai.hokkaido.jp,1
nico,1
onomichi.hiroshima.jp,1
blogspot.ch,1
blogspot.ca,1
gs,1
meguro.tokyo.jp,1
york.sch.uk,1
ac.zw,1
higashihiroshima.hiroshima.jp,1
makurazaki.kagoshima.jp,1
ota.gunma.jp,1
saikai.nagasaki.jp,1
toyoura.hokkaido.jp,1
gob.gt,1
shimada.shizuoka.jp,1
blogspot.cz,1
nanae.hokkaido.jp,1
je,1
